Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Afghanistan,AFG,2.8,18.5,34.2,37.3,40.4,43.6,46.7,49.9,53,56.1,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Albania,ALB,..,94.1,94,94,93.9,93.9,93.9,93.9,93.8,93.8,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Algeria,DZA,87.6,83.8,81.1,80.6,80,79.5,79.5,79.5,79.5,79.5,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,American Samoa,ASM,93.6,97.8,99.9,100,100,100,100,100,100,100,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Andorra,ADO,100,100,100,100,100,100,100,100,100,100,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Angola,AGO,41.8,39.3,37.2,36.8,36.4,36,35.5,35.1,34.7,34.3,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Antigua and Barbuda,ATG,97.4,97.7,97.8,97.8,97.9,97.9,97.9,97.9,97.9,97.9,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Argentina,ARG,69.3,81.1,87,88.2,89.4,90.6,91.8,93,94.1,95.3,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Armenia,ARM,..,81.5,89.2,90.8,92.3,93.8,95.4,96.9,98.4,100,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Aruba,ABW,91,94.2,95.8,96.2,96.5,96.8,97.1,97.4,97.8,98.1,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Austria,AUT,100,100,100,100,100,100,100,100,100,100,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Azerbaijan,AZE,49.2,59.2,66.4,67.8,69.2,70.7,70.7,70.7,70.7,70.7,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,"Bahamas, The",BHS,..,96.6,97.3,97.5,97.6,97.8,97.9,98.1,98.2,98.4,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Bahrain,BHR,94.9,98.9,100,100,100,100,100,100,100,100,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Bangladesh,BGD,64.8,73.7,78.2,79.1,80,80.9,81.8,82.7,83.6,84.4,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Barbados,BRB,95.4,99.1,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,..,..
"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,Belarus,BLR,99.2,99.2,99.1,99.1,99.1,99.1,99,99,99,99,..,..
